 	i	P	        T						
	145	1.0186565E-02	5.0000000E+02						
	146	1.0618511E-02	5.0000000E+02						
	147	1.1068773E-02	5.0000000E+02						
	148	1.1538127E-02	5.0000000E+02						
	149	1.2027384E-02	5.0000000E+02						
	150	1.2537388E-02	5.0000000E+02						
	151	1.3069017E-02	5.0000000E+02						
	152	1.3623189E-02	5.0000000E+02						
	153	1.4200859E-02	5.0000000E+02						
	154	1.4803026E-02	5.0000000E+02						
	155	1.5430726E-02	5.0000000E+02						
	156	1.6085042E-02	5.0000000E+02						
	157	1.6767104E-02	5.0000000E+02						
	158	1.7478088E-02	5.0000000E+02						
	159	1.8219220E-02	5.0000000E+02						
	160	1.8991779E-02	5.0000000E+02						
	161	1.9797097E-02	5.0000000E+02						
	162	2.0636563E-02	5.0000000E+02						
	163	2.1511625E-02	5.0000000E+02						
	164	2.2423793E-02	5.0000000E+02						
	165	2.3374640E-02	5.0000000E+02						
	166	2.4365807E-02	5.0000000E+02						
	167	2.5399002E-02	5.0000000E+02						
	168	2.6476009E-02	5.0000000E+02						
	169	2.7598684E-02	5.0000000E+02						
	170	2.8768965E-02	5.0000000E+02						
	171	2.9988869E-02	5.0000000E+02						
	172	3.1260502E-02	5.0000000E+02						
	173	3.2586057E-02	5.0000000E+02						
	174	3.3967819E-02	5.0000000E+02						
	175	3.5408174E-02	5.0000000E+02						
	176	3.6909604E-02	5.0000000E+02						
	177	3.8474700E-02	5.0000000E+02						
	178	4.0106162E-02	5.0000000E+02						
	179	4.1806803E-02	5.0000000E+02						
	180	4.3579558E-02	5.0000000E+02						
	181	4.5427484E-02	5.0000000E+02						
	182	4.7353768E-02	5.0000000E+02						
	183	4.9361733E-02	5.0000000E+02						
	184	5.1454843E-02	5.0000000E+02						
	185	5.3636708E-02	5.0000000E+02						
	186	5.5911092E-02	5.0000000E+02						
	187	5.8281918E-02	5.0000000E+02						
	188	6.0753275E-02	5.0000000E+02						
	189	6.3329426E-02	5.0000000E+02						
	190	6.6014815E-02	5.0000000E+02						
	191	6.8814074E-02	5.0000000E+02						
	192	7.1732031E-02	5.0000000E+02						
	193	7.4773720E-02	5.0000000E+02						
	194	7.7944387E-02	5.0000000E+02						
	195	8.1249502E-02	5.0000000E+02						
	196	8.4694764E-02	5.0000000E+02						
	197	8.8286118E-02	5.0000000E+02						
	198	9.2029758E-02	5.0000000E+02						
	199	9.5932142E-02	5.0000000E+02						
	200	1.0000000E-01	5.0000000E+02						
	201	1.0424036E-01	5.0000000E+02						
	202	1.0866052E-01	5.0000000E+02						
	203	1.1326812E-01	5.0000000E+02						
	204	1.1807108E-01	5.0000000E+02						
	205	1.2307772E-01	5.0000000E+02						
	206	1.2829665E-01	5.0000000E+02						
	207	1.3373689E-01	5.0000000E+02						
	208	1.3940781E-01	5.0000000E+02						
	209	1.4531920E-01	5.0000000E+02						
	210	1.5148125E-01	5.0000000E+02						
	211	1.5790459E-01	5.0000000E+02						
	212	1.6460032E-01	5.0000000E+02						
	213	1.7157996E-01	5.0000000E+02						
	214	1.7885556E-01	5.0000000E+02						
	215	1.8643967E-01	5.0000000E+02						
	216	1.9434517E-01	5.0000000E+02						
	217	2.0258610E-01	5.0000000E+02						
	218	2.1117646E-01	5.0000000E+02						
	219	2.2013110E-01	5.0000000E+02						
	220	2.2946545E-01	5.0000000E+02						
	221	2.3919561E-01	5.0000000E+02						
	222	2.4933834E-01	5.0000000E+02						
	223	2.5991119E-01	5.0000000E+02						
	224	2.7093233E-01	5.0000000E+02						
	225	2.8242084E-01	5.0000000E+02						
	226	2.9439650E-01	5.0000000E+02						
	227	3.0687995E-01	5.0000000E+02						
	228	3.1989275E-01	5.0000000E+02						
	229	3.3345734E-01	5.0000000E+02						
	230	3.4759712E-01	5.0000000E+02						
	231	3.6233648E-01	5.0000000E+02						
	232	3.7770085E-01	5.0000000E+02						
	233	3.9371671E-01	5.0000000E+02						
	234	4.1041171E-01	5.0000000E+02						
	235	4.2781462E-01	5.0000000E+02						
	236	4.4595549E-01	5.0000000E+02						
	237	4.6486562E-01	5.0000000E+02						
	238	4.8457755E-01	5.0000000E+02						
	239	5.0512535E-01	5.0000000E+02						
	240	5.2654450E-01	5.0000000E+02						
	241	5.4887123E-01	5.0000000E+02						
	242	5.7214534E-01	5.0000000E+02						
	243	5.9640633E-01	5.0000000E+02						
	244	6.2169611E-01	5.0000000E+02						
	245	6.4805822E-01	5.0000000E+02						
	246	6.7553824E-01	5.0000000E+02						
	247	7.0418346E-01	5.0000000E+02						
	248	7.3404335E-01	5.0000000E+02						
	249	7.6516935E-01	5.0000000E+02						
	250	7.9761530E-01	5.0000000E+02						
	251	8.3143705E-01	5.0000000E+02						
	252	8.6669297E-01	5.0000000E+02						
	253	9.0344383E-01	5.0000000E+02						
	254	9.4175302E-01	5.0000000E+02						
	255	9.8168675E-01	5.0000000E+02						
	256	1.0233138E+00	5.0000000E+02						
	257	1.0667059E+00	5.0000000E+02						
	258	1.1119380E+00	5.0000000E+02						
	259	1.1590882E+00	5.0000000E+02						
	260	1.2082377E+00	5.0000000E+02						
	261	1.2594713E+00	5.0000000E+02						
	262	1.3128773E+00	5.0000000E+02						
	263	1.3685480E+00	5.0000000E+02						
	264	1.4265793E+00	5.0000000E+02						
	265	1.4870714E+00	5.0000000E+02						
	266	1.5501286E+00	5.0000000E+02						
	267	1.6158594E+00	5.0000000E+02						
	268	1.6843776E+00	5.0000000E+02						
	269	1.7558013E+00	5.0000000E+02						
	270	1.8302535E+00	5.0000000E+02						
	271	1.9078629E+00	5.0000000E+02						
	272	1.9887630E+00	5.0000000E+02						
	273	2.0730937E+00	5.0000000E+02						
	274	2.1610002E+00	5.0000000E+02						
	275	2.2526319E+00	5.0000000E+02						
	276	2.3481514E+00	5.0000000E+02						
	277	2.4477215E+00	5.0000000E+02						
	278	2.5515135E+00	5.0000000E+02						
	279	2.6597068E+00	5.0000000E+02						
	280	2.7724880E+00	5.0000000E+02						
	281	2.8900513E+00	5.0000000E+02						
	282	3.0125997E+00	5.0000000E+02						
	283	3.1403448E+00	5.0000000E+02						
	284	3.2735064E+00	5.0000000E+02						
	285	3.4123150E+00	5.0000000E+02						
	286	3.5570094E+00	5.0000000E+02						
	287	3.7078393E+00	5.0000000E+02						
	288	3.8650647E+00	5.0000000E+02						
	289	4.0289571E+00	5.0000000E+02						
	290	4.1997995E+00	5.0000000E+02						
	291	4.3778859E+00	5.0000000E+02						
	292	4.5635239E+00	5.0000000E+02						
	293	4.7570335E+00	5.0000000E+02						
	294	4.9587488E+00	5.0000000E+02						
	295	5.1690175E+00	5.0000000E+02						
	296	5.3881962E+00	5.0000000E+02						
	297	5.6166751E+00	5.0000000E+02						
	298	5.8548419E+00	5.0000000E+02						
	299	6.1031082E+00	5.0000000E+02						
	300	6.3619016E+00	5.0000000E+02						
	301	6.6316694E+00	5.0000000E+02						
	302	6.9128757E+00	5.0000000E+02						
	303	7.2060058E+00	5.0000000E+02						
	304	7.5115662E+00	5.0000000E+02						
	305	7.8300836E+00	5.0000000E+02						
	306	8.1621074E+00	5.0000000E+02						
	307	8.5082094E+00	5.0000000E+02						
	308	8.8689878E+00	5.0000000E+02						
	309	9.2450646E+00	5.0000000E+02						
	310	9.6370888E+00	5.0000000E+02						
	311	1.0045736E+01	5.0000000E+02						
	312	1.0471710E+01	5.0000000E+02						
	313	1.0915748E+01	5.0000000E+02						
	314	1.1378615E+01	5.0000000E+02						
	315	1.1861109E+01	5.0000000E+02						
	316	1.2364062E+01	5.0000000E+02						
	317	1.2888342E+01	5.0000000E+02						
	318	1.3434853E+01	5.0000000E+02						
	319	1.4004541E+01	5.0000000E+02						
	320	1.4598382E+01	5.0000000E+02						
	321	1.5217398E+01	5.0000000E+02						
	322	1.5862669E+01	5.0000000E+02						
	323	1.6535303E+01	5.0000000E+02						
	324	1.7236458E+01	5.0000000E+02						
	325	1.7967346E+01	5.0000000E+02						
	326	1.8729226E+01	5.0000000E+02						
	327	1.9523411E+01	5.0000000E+02						
	328	2.0351274E+01	5.0000000E+02						
	329	2.1214240E+01	5.0000000E+02						
	330	2.2113801E+01	5.0000000E+02						
	331	2.3051504E+01	5.0000000E+02						
	332	2.4028971E+01	5.0000000E+02						
	333	2.5047883E+01	5.0000000E+02						
	334	2.6110004E+01	5.0000000E+02						
	335	2.7217160E+01	5.0000000E+02						
	336	2.8371249E+01	5.0000000E+02						
	337	2.9574294E+01	5.0000000E+02						
	338	3.0828349E+01	5.0000000E+02						
	339	3.2135579E+01	5.0000000E+02						
	340	3.3498244E+01	5.0000000E+02						
	341	3.4918688E+01	5.0000000E+02						
	342	3.6399366E+01	5.0000000E+02						
	343	3.7942827E+01	5.0000000E+02						
	344	3.9551739E+01	5.0000000E+02						
	345	4.1228873E+01	5.0000000E+02						
	346	4.2977126E+01	5.0000000E+02						
	347	4.4799509E+01	5.0000000E+02						
	348	4.6699168E+01	5.0000000E+02						
	349	4.8679378E+01	5.0000000E+02						
	350	5.0743530E+01	5.0000000E+02						
	351	5.2895240E+01	5.0000000E+02						
	352	5.5138185E+01	5.0000000E+02						
	353	5.7476241E+01	5.0000000E+02						
	354	5.9913436E+01	5.0000000E+02						
	355	6.2453980E+01	5.0000000E+02						
	356	6.5102254E+01	5.0000000E+02						
	357	6.7862822E+01	5.0000000E+02						
	358	7.0740446E+01	5.0000000E+02						
	359	7.3740090E+01	5.0000000E+02						
	360	7.6866936E+01	5.0000000E+02						
	361	8.0126367E+01	5.0000000E+02						
	362	8.3524012E+01	5.0000000E+02						
	363	8.7065727E+01	5.0000000E+02						
	364	9.0757577E+01	5.0000000E+02						
	365	9.4606017E+01	5.0000000E+02						
	366	9.8617654E+01	5.0000000E+02						
	367	1.0279940E+02	5.0000000E+02						
	368	1.0715845E+02	5.0000000E+02						
	369	1.1170235E+02	5.0000000E+02						
	370	1.1643893E+02	5.0000000E+02						
	371	1.2137636E+02	5.0000000E+02						
	372	1.2652315E+02	5.0000000E+02						
	373	1.3188819E+02	5.0000000E+02						
	374	1.3748071E+02	5.0000000E+02						
	375	1.4331038E+02	5.0000000E+02						
	376	1.4938725E+02	5.0000000E+02						
	377	1.5572180E+02	5.0000000E+02						
	378	1.6232488E+02	5.0000000E+02						
	379	1.6920803E+02	5.0000000E+02						
	380	1.7638305E+02	5.0000000E+02						
	381	1.8386233E+02	5.0000000E+02						
	382	1.9165875E+02	5.0000000E+02						
	383	1.9978576E+02	5.0000000E+02						
	384	2.0825739E+02	5.0000000E+02						
	385	2.1708824E+02	5.0000000E+02						
	386	2.2629355E+02	5.0000000E+02						
	387	2.3588922E+02	5.0000000E+02						
	388	2.4589177E+02	5.0000000E+02						
	389	2.5631844E+02	5.0000000E+02						
	390	2.6718725E+02	5.0000000E+02						
	391	2.7851695E+02	5.0000000E+02						
	392	2.9032691E+02	5.0000000E+02						
	393	3.0263781E+02	5.0000000E+02						
	394	3.1547071E+02	5.0000000E+02						
	395	3.2884781E+02	5.0000000E+02						
	396	3.4279213E+02	5.0000000E+02						
	397	3.5732773E+02	5.0000000E+02						
	398	3.7247972E+02	5.0000000E+02						
	399	3.8827418E+02	5.0000000E+02						
	400	4.0473840E+02	5.0000000E+02						
	401	4.2190072E+02	5.0000000E+02						
	402	4.3979082E+02	5.0000000E+02						
	403	4.5843953E+02	5.0000000E+02						
	404	4.7787898E+02	5.0000000E+02						
	405	4.9814279E+02	5.0000000E+02						
	406	5.1926579E+02	5.0000000E+02						
	407	5.4128421E+02	5.0000000E+02						
	408	5.6423661E+02	5.0000000E+02						
	409	5.8816224E+02	5.0000000E+02						
	410	6.1310246E+02	5.0000000E+02						
	411	6.3910019E+02	5.0000000E+02						
	412	6.6620028E+02	5.0000000E+02						
	413	6.9444957E+02	5.0000000E+02						
	414	7.2389669E+02	5.0000000E+02						
	415	7.5459252E+02	5.0000000E+02						
	416	7.8658992E+02	5.0000000E+02						
	417	8.1994412E+02	5.0000000E+02						
	418	8.5471272E+02	5.0000000E+02						
	419	8.9095552E+02	5.0000000E+02						
	420	9.2873527E+02	5.0000000E+02						
	421	9.6811643E+02	5.0000000E+02						
	422	1.0091680E+03	5.0000000E+02						
	423	1.0519603E+03	5.0000000E+02						
	424	1.0965672E+03	5.0000000E+02						
	425	1.1430656E+03	5.0000000E+02						
	426	1.1915356E+03	5.0000000E+02						
	427	1.2420610E+03	5.0000000E+02						
	428	1.2947287E+03	5.0000000E+02						
	429	1.3496299E+03	5.0000000E+02						
	430	1.4068590E+03	5.0000000E+02						
	431	1.4665148E+03	5.0000000E+02						
	432	1.5287003E+03	5.0000000E+02						
	433	1.5935227E+03	5.0000000E+02						
	434	1.6610937E+03	5.0000000E+02						
	435	1.7315300E+03	5.0000000E+02						
	436	1.8049531E+03	5.0000000E+02						
	437	1.8814895E+03	5.0000000E+02						
	438	1.9612715E+03	5.0000000E+02						
	439	2.0444363E+03	5.0000000E+02						
	440	2.1311278E+03	5.0000000E+02						
	441	2.2214951E+03	5.0000000E+02						
	442	2.3156919E+03	5.0000000E+02						
